,título,título_original,año,duración,país,dirección,guion,reparto,productora,género,sinopsis,premios,puntuación_fa,votos_fa,puntuación_positiva,puntuación_neutral,puntuación_negativa,portada_url,portada_local,puntuación_imdb,votos_imdb
17,Los siete samuráis,Shichinin no Samurai (Seven Samurai),1954,205 min.,Japón,Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni","Toshirô Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki, Daisuke Kato, Isao Kimura, Kamatari Fujiwara, Keiko Tsushima, Yoshio Tsuchiya, Kokuten Kôdô",Toho,Aventuras. Drama | Japón feudal. Siglo XVI. Samuráis. Película de culto,"Japón, Siglo XVI. Una aldea de campesinos indefensos es repetidamente atacada y saqueada por una banda de forajidos. Aconsejados por el anciano de la aldea, unos aldeanos acuden a la ciudad con el objetivo de contratar a un grupo de samuráis para protegerlos. A pesar de que el único salario es comida y techo, varios samuráis se van incorporando uno a uno al singular grupo que finalmente se dirige a la aldea. (FILMAFFINITY)","['1956: Oscar: Nominada a Mejor dirección artística (B&N) y vestuario (B&N)', '1955: Premios BAFTA: Nominada mejor película y actores extranjeros (Shimura & Mifune)', '1954: Festival de Venecia: León de Plata - mejor director. Sección oficial', '']",8.4,40987,10,0,0,https://pics.filmaffinity.com/shichinin_no_samurai_seven_samurai-914194246-mmed.jpg,../images/Lossietesamuris1954.jpg,8.6,319252
18,Perdición,Double Indemnity,1944,106 min.,Estados Unidos,Billy Wilder,"Raymond Chandler, Billy Wilder (Novela: James M. Cain)","Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Tom Powers, Porter Hall, Jean Heather, Byron Barr, Richard Gaines, Fortunio Bonanova, John Philliber, Bess Flowers, Miriam Franklin",Paramount Pictures,Cine negro. Intriga. Thriller | Crimen,"En la ciudad de Los Angeles un agente de una compañía de seguros (Fred MacMurray) y una cliente (Bárbara Stanwyck) traman asesinar al marido de esta última para así cobrar un cuantioso y falso seguro de accidentes. Todo se complica cuando entra en acción Barton Keyes (Edward G. Robinson), investigador de la empresa de seguros. (FILMAFFINITY)","['1944: 7 nominaciones al Oscar, incluyendo película, director, actriz y guión', '1944: Círculo de Críticos de Nueva York: Nom. a mejor director y mejor actriz (Stanwiyk)']",8.4,32262,9,1,0,https://pics.filmaffinity.com/double_indemnity-575631064-mmed.jpg,../images/Perdicin1944.jpg,8.3,145169
19,Amanecer,Sunrise: A Song of Two Humans,1927,94 min.,Estados Unidos,F.W. Murnau,Carl Mayer,"George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing, J. Farrell MacDonald",Fox Film Corporation,Drama. Romance | Drama romántico. Melodrama. Expresionismo alemán. Cine mudo. Película de culto,"Un granjero (George O'Brien) convive felizmente en el campo con su esposa (Janet Gaynor). Pero la aparición de una seductora mujer (Margaret Livingston) de la ciudad hace que comience a enamorarse de ésta, y a pensar que su mujer es un estorbo que se interpone en la felicidad entre él y su nueva y sofisticada amante. (FILMAFFINITY)","['1927: 3 Oscars: Mejor película por calidad artística, actriz (Janet Gaynor), fotografía']",8.4,13728,13,0,0,https://pics.filmaffinity.com/sunrise_a_song_of_two_humans-733726029-mmed.jpg,../images/Amanecer1927.jpg,8.1,47233
20,El infierno del odio,Tengoku to Jigoku (High and Low),1963,143 min.,Japón,Akira Kurosawa,"Hideo Oguni, Akira Kurosawa, Ryuzo Kikushima, Eijiro Hisaito (Novela: Evan Hunter )","Toshirô Mifune, Kyôko Kagawa, Yutaka Sada, Takashi Shimura, Tatsuya Mihashi, Tatsuya Nakadai, Kenji Kodama, Isao Kimura, Kenjiro Ishiyama, Takeshi Katô, Jun Tazaki, Nobuo Nakamura, Yûnosuke Itô, Tsutomu Yamazaki, Minoru Chiaki, Eijirô Tono, Masao Shimizu, Masahiko Shimazu, Koji Mitsui, Kyû Sazanka, Susumu Fujita, Kamatari Fujiwara, Yoshio Tsuchiya, Kazuo Kitamura, Gen Shimizu, Akira Nagoya, Jun Hamamura, Masao Oda, Kô Nishimura, Yoshifumi Tajima, Kôji Kiyomura, Hiroshi Unayama, Satoshi Suzuki, Senkichi Omura, Kazuo Katô, Ikio Sawamura, Kin Sugai, Keiko Tomita, Isao Onoda, Kiyoshi Yamamoto, Haruo Suzuki","Kurosawa Production Co., Toho",Cine negro. Thriller. Intriga. Drama | Crimen. Policíaco. Secuestros / Desapariciones,"En un momento crucial de su vida financiera, Gondo (Toshirô Mifune), un directivo de una importante empresa de zapatos, recibe la noticia de que su hijo ha sido secuestrado. El rescate exigido es una gran cantidad de dinero, pero Gondo la necesita para cerrar una negociación que le dará el control de la empresa. (FILMAFFINITY)","['1963: Festival de Venecia: Sección Oficial', '1963: Globos de Oro: Nominada a mejor película extranjera (Samuel Goldwyn Award)']",8.4,8552,6,0,0,https://pics.filmaffinity.com/tengoku_to_jigoku_high_and_low-303287920-mmed.jpg,../images/Elinfiernodelodio1963.jpg,8.4,35730
21,El apartamento,The Apartment,1960,125 min.,Estados Unidos,Billy Wilder,"Billy Wilder, I.A.L. Diamond","Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Edie Adams, Jack Kruschen, Joan Shawlee, Hope Holiday, David Lewis, Naomi Stevens, Johnny Seven, Joyce Jameson, Willard Waterman, David White","United Artists, The Mirisch Corporation",Comedia. Romance. Drama | Comedia dramática. Navidad. Película de culto. Nochevieja / Año nuevo,C.C. Baxter (Jack Lemmon) es un modesto pero ambicioso empleado de una compañía de seguros de Manhattan. Está soltero y vive solo en un discreto apartamento que presta ocasionalmente a sus superiores para sus citas amorosas. Tiene la esperanza de que estos favores le sirvan para mejorar su posición en la empresa. Pero la situación cambia cuando se enamora de una ascensorista (Shirley MacLaine) que resulta ser la amante de uno de los jefes que usan su apartamento (Fred MacMurray). (FILMAFFINITY),"['1960: 5 Oscars incluyendo mejor película, director y guión original. 10 nom.', '1960: 3 Globos de Oro, incluyendo Mejor película - Comedia. 4 nominaciones', '1960: Premios BAFTA: Mejor película, actor extranjero y actriz extranjera', '1960: Sindicato de Directores (DGA): Mejor director', '1960: Sindicato de Guionistas (WGA): Mejor guión comedia', '1960: Festival de Venecia: Mejor actriz (Shirley MacLaine)', '1960: Círculo de Críticos de Nueva York: 3 premios incl. mejor película (ex-aequo)', '1960: National Board of Review: Top 10 mejores películas']",8.4,78984,14,1,0,https://pics.filmaffinity.com/the_apartment-815113911-mmed.jpg,../images/Elapartamento1960.jpg,8.3,166390
22,Ciudad de Dios,Cidade de Deus,2002,130 min.,Brasil,"Fernando Meirelles, Kátia Lund",Braulio Mantovani (Novela: Paulo Lins),"Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Seu Jorge, Jonathan Haagensen, Matheus Nachtergaele, Jefechander Suplino, Alice Braga, Emerson Gomes, Luis Otávio, Babu Santana, Gero Camilo","O2 Filmes, VideoFilmes, Globo Filmes, Wild Bunch",Drama | Basado en hechos reales. Adolescencia. Pobreza. Crimen. Años 60. Años 70. Años 80. Drogas. Película de culto. Bandas/pandillas callejeras,"Basada en hechos reales, describe el mundo del crimen organizado en Cidade de Deus, un suburbio de Río de Janeiro, desde finales de los sesenta hasta principios de los ochenta, época durante la cual el tráfico de drogas y la violencia impusieron su ley en las favelas. A finales de los sesenta, Buscapé, un niño de 11 años tímido y sensible, observa a los niños duros de su barrio, sus robos, sus peleas, sus enfrentamientos diarios con la policía. Pero él sabe muy bien lo que quiere ser si consigue sobrevivir: fotógrafo. Dadinho, un niño de su edad que se traslada al barrio, sueña con ser el criminal más peligroso de Río de Janeiro y empieza su aprendizaje haciendo recados para los delincuentes locales. Admira a Cabeleira y su pandilla, que se dedican a atracar los camiones del gas. Un día Cabeleira le da a Dadinho la oportunidad de cometer su primer asesinato. (FILMAFFINITY)","['2003: 4 nominaciones al Oscar: Mejor director, fotografía, montaje, guión adaptado', '2002: Globos de oro: Nominada Mejor película de habla no inglesa', '2002: Premios BAFTA: Mejor montaje. Nominada a mejor película de habla no inglesa', '2003: Círculo de Críticos de Nueva York: Mejor película extranjera', 'Asociación de Críticos de Los Angeles: Nominada a Mejor película extranjera', '2003: Festival de Toronto: Mejor película extranjera', ""2003: Critics' Choice Awards: Nominada a mejor película de habla no inglesa"", '2003: Asociación de Críticos de Chicago: Mejor película extranjera', '2003: Premios Independent Spirit: Nominada a Mejor película extranjera', '2003: British Independent Film Awards (BIFA): Mejor película internacional independiente']",8.4,124227,10,0,0,https://pics.filmaffinity.com/cidade_de_deus-534458763-mmed.jpg,../images/CiudaddeDios2002.jpg,8.6,705448
23,El chico,The Kid,1921,68 min.,Estados Unidos,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Jackie Coogan, Edna Purviance, Carl Miller, Tom Wilson, Henry Bergman, Lita Grey","Charles Chaplin, First National Picture",Comedia. Drama | Pobreza. Cine mudo. Comedia dramática. Película de culto,"Una mujer de escasos recursos (Edna Purviance), ha tenido un hijo siendo soltera, y al sentirse abandonada por el padre del niño, decide también ella abandonar al bebé, con la esperanza de que una familia rica lo coja en adopción. Pero el pequeño terminará en manos de un vagabundo (Charles Chaplin), quien pronto se encariñará con él y decidirá sacarlo adelante como sea. Cuando el niño, llamado ahora John (Jackie Coogan) llega a los cinco años, la lucha por la supervivencia y por permanecer juntos será toda una aventura. (FILMAFFINITY) Reestreno 4K (100 aniversario) en cines España: 5 febrero 2021.",,8.4,31580,10,1,0,https://pics.filmaffinity.com/the_kid-720269485-mmed.jpg,../images/Elchico1921.jpg,8.3,115191
24,La evasión,Le trou,1960,131 min.,Francia,Jacques Becker,"Jose Giovanni, Jacques Becker, Jean Aurel (Novela: Jose Giovanni)","Philippe Leroy, Marc Michel, Michel Constantin, Jean Kéraudy, Raymond Meunier, André Bervil","Co-production Francia-Italia; Filmsonor, Play Art, Titanus",Drama | Drama carcelario. Basado en hechos reales,"Manu, Roland, Jo y Vosselin comparten celda en la prisión francesa de La Santé. Los cuatro han pensado un elaborado método para escapar de la prisión, pero cuando están a punto de ejecutarlo, les asignan un nuevo compañero de celda, al que no saben si comunicarle o no sus planes. (FILMAFFINITY)","['1960: Festival de Cannes: Nominada a la Palma de Oro (Mejor película)', '1961: Premios BAFTA: 2 nominaciones incluyendo a Mejor película']",8.4,11663,5,0,0,https://pics.filmaffinity.com/le_trou-203887817-mmed.jpg,../images/Laevasin1960.jpg,8.5,15720
25,La quimera del oro,The Gold Rush,1925,95 min.,Estados Unidos,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Mack Swain, Georgia Hale, Tom Murray, Malcom Waite, Henry Bergman, Betty Morrisey",United Artists,Comedia. Drama. Aventuras | Cine mudo. Años 1900 (circa). Comedia dramática. Nochevieja / Año nuevo,"Obra maestra de Chaplin, en la que interpreta a un solitario buscador de oro que llega a Alaska, a principios de siglo, en busca de fortuna. Una fuerte tormenta de nieve le llevará a refugiarse en la cabaña de un bandido. En 1942 fue reestrenada en versión sonora. (FILMAFFINITY)","['1942: 2 nominaciones al Oscar: Mejor sonido, bso (dramática)']",8.4,26833,7,0,1,https://pics.filmaffinity.com/the_gold_rush-939207351-mmed.jpg,../images/Laquimeradeloro1925.jpg,8.2,102420
26,Psicosis,Psycho,1960,109 min.,Estados Unidos,Alfred Hitchcock,Joseph Stefano (Novela: Robert Bloch),"Anthony Perkins, Janet Leigh, John Gavin, Vera Miles, John McIntire, Martin Balsam, Simon Oakland, Patricia Hitchcock",Paramount Pictures,Terror. Intriga. Thriller | Película de culto. Asesinos en serie. Slasher. Thriller psicológico,"Marion Crane, una joven secretaria, tras cometer el robo de un dinero en su empresa, huye de la ciudad y, después de conducir durante horas, decide descansar en un pequeño y apartado motel de carretera regentado por un tímido joven llamado Norman Bates, que vive en la casa de al lado con su madre. (FILMAFFINITY)","['1960: 4 nominaciones al Oscar: director, actriz sec. (Leigh), fotografía y dir. artística (B&N)', '1960: Globos de Oro: Mejor actriz secundaria (Janet Leigh)', '1960: Sindicato de Directores (DGA): Nominada a Mejor director', '1960: Sindicato de Guionistas (WGA): Nominada a Mejor guión drama']",8.4,106215,11,0,2,https://pics.filmaffinity.com/psycho-805182707-mmed.jpg,../images/Psicosis1960.jpg,8.5,611169
