,título,título_original,año,duración,país,dirección,guion,reparto,productora,género,sinopsis,premios,puntuación_fa,votos_fa,puntuación_positiva,puntuación_neutral,puntuación_negativa,portada_url,portada_local,puntuación_imdb,votos_imdb
86,Samurai Rebellion,Jôi-uchi: Hairyô tsuma shimatsu (Samurai Rebellion),1967,128 min.,Japón,Masaki Kobayashi,Shinobu Hashimoto (Novela: Yasuhiko Takiguchi),"Toshirô Mifune, Yôko Tsukasa, Go Kato, Tatsuya Nakadai, Etsuko Ichihara, Isao Yamagata, Tatsuyoshi Ehara, Shigeru Kôyama, Tatsuo Matsumura, Michiko Ôtsuka","Toho, Mifune Productions Co. Ltd",Drama | Samuráis. Japón feudal. Siglo XVIII,"En el Japón de 1725, durante una época de paz, Isaburo, un samurái veterano, miembro de un clan local, lleva una vida apacible con su hijo y su esposa. Pero un día, su honor y sus principios morales entran en abierto conflicto con los de su clan. El enfrentamiento es inevitable y tendrá inesperadas consecuencias. (FILMAFFINITY)",['1967: Festival de Venecia: Premio FIPRESCI'],8.2,2440,,,,https://pics.filmaffinity.com/joi_uchi_hairyo_tsuma_shimatsu_samurai_rebellion-634678333-mmed.jpg,../images/SamuraiRebellion1967.jpg,8.4,11279
87,Ciudadano Kane,Citizen Kane,1941,119 min.,Estados Unidos,Orson Welles,"Herman J. Mankiewicz, Orson Welles","Orson Welles, Joseph Cotten, Everett Sloane, George Coulouris, Dorothy Comingore, Ray Collins, Agnes Moorehead, Paul Stewart, Ruth Warrick, Erskine Sanford, William Alland, Alan Ladd, Arthur O'Connell, Fortunio Bonanova","RKO, Mercury Theatre Productions",Drama | Periodismo. Película de culto. Nochevieja / Año nuevo,"Un importante magnate estadounidense, Charles Foster Kane, dueño de una importante cadena de periódicos, de una red de emisoras, de dos sindicatos y de una inimaginable colección de obras de arte, muere en Xanadú, su fabuloso castillo de estilo oriental. La última palabra que pronuncia antes de expirar, ”Rosebud”, cuyo significado es un enigma, despierta una enorme curiosidad tanto en la prensa como entre la población. Así, un grupo de periodistas emprende una investigación para desentrañar el misterio. (FILMAFFINITY)","['1941: Premios Oscar: Mejor guión original. 9 nominaciones', '1941: National Board of Review: Mejor película', '1941: Círculo de Críticos de Nueva York: Mejor película. 3 nominaciones']",8.2,77144,13,0,0,https://pics.filmaffinity.com/citizen_kane-217208961-mmed.jpg,../images/CiudadanoKane1941.jpg,8.3,408838
88,La gran evasión,The Great Escape,1963,168 min.,Estados Unidos,John Sturges,"James Clavell, W.R. Burnett (Libro: Paul Brickhill)","Steve McQueen, James Garner, Charles Bronson, Richard Attenborough, James Coburn, James Donald, Donald Pleasence, David McCallum, Gordon Jackson, Angus Lennie, Hannes Messemer, John Leyton, Lawrence Montaigne, Nigel Stock",The Mirisch Corporation (Distribuidora: United Artists),Drama. Aventuras | II Guerra Mundial. Drama carcelario. Nazismo. Basado en hechos reales,"Segunda Guerra Mundial (1939-1945). Un grupo de oficiales ingleses y norteamericanos que están prisioneros en un campo de concentración nazi, se proponen organizar una fuga en la que se verán implicados doscientos cincuenta presos. Para llevar a cabo su plan comienzan a excavar tres túneles. (FILMAFFINITY)","['1963: Nominada al Oscar: Mejor montaje', '1963: Globos de oro: Nominada Mejor película - Drama', '1963: National Board of Review: Top 10 mejores películas', '1963: Sindicato de Guionistas (WGA): Nominada a Mejor guión drama']",8.2,65585,10,1,1,https://pics.filmaffinity.com/the_great_escape-691080602-mmed.jpg,../images/Lagranevasin1963.jpg,8.2,226928
89,La huella,Sleuth,1972,138 min.,Reino Unido,Joseph L. Mankiewicz,Anthony Shaffer (Teatro: Anthony Shaffer ),"Laurence Olivier, Michael Caine, Alec Cawthorne, John Matthews, Eve Channing, Teddy Martin","20th Century Fox, Palomar Pictures",Intriga | Drama psicológico. Comedia negra,"Andrew Wyke (Laurence Olivier) es un prestigioso escritor de novelas de intriga. Además, su pasión por los juegos de ingenio y las adivinanzas lo ha llevado a convertir su gran mansión en una especie de museo, donde se exponen los juguetes y mecanismos más extravagantes. Una tarde, invita a su casa a Milo Tindle (Michael Caine), amante de su mujer y propietario de una cadena de salones de belleza, para proponerle un ingenioso plan del que ambos podrían salir beneficiados. (FILMAFFINITY)","['1972: Oscar: 4 nominaciones, director, actores (L. Olivier y M. Caine) y BSO', '1972: Globos de Oro: 3 nominaciones, incluyendo mejor película - Drama', '1973: Premios BAFTA: 4 nominaciones, incluyendo Mejor actor (Oliver) y guión', '1972: Círculo de Críticos de Nueva York: Mejor actor (Laurence Olivier)', '1972: Premios David di Donatello: Mejor actor extranjero (Olivier) (ex aequo)']",8.2,29964,7,0,0,https://pics.filmaffinity.com/sleuth-754008667-mmed.jpg,../images/Lahuella1972.jpg,8.0,45054
90,Novecento (1900),Novecento (1900),1976,314 min.,Italia,Bernardo Bertolucci,"Franco Arcalli, Giuseppe Bertolucci, Bernardo Bertolucci","Gérard Depardieu, Robert De Niro, Dominique Sanda, Stefania Sandrelli, Donald Sutherland, Burt Lancaster, Sterling Hayden, Francesca Bertini, Laura Betti, Werner Bruhns, Stefania Casini, Anna Henkel, Ellen Schwiers, Alida Valli, Romolo Valli","Co-production Italia-Francia-Alemania del Oeste (RFA); Produzioni Europee Associati (PEA), Les Productions Artistes Associes, Artemis Film",Drama | Años 1900 (circa). Años 1910-1919. Años 20. Años 30. Años 40. Amistad. Histórico,"En el año 1901, en una finca del norte de Italia, nacen el mismo día el hijo de un terrateniente y el hijo de un bracero que serán amigos inseparables, aunque su relación se verá nublada por sus diferentes actitudes frente al fascismo. Drama que hace un complejo recorrido político y social por la Italia del siglo XX. (FILMAFFINITY)","['1977: Premios National Society of Film Critics (NSFC): nominada a mejor fotografía', '1976: Bodil Awards (Dinamarca): Mejor Película Europea', '1976: Sindicato Italiano de Periodistas de Cine: Nominadas Actrices Sec. (Valli & Betti)', '1976: Premios Sant Jordi: Mejor Interpretación en Película Extranjera (de Niro)', '1976: Festival de Cannes: Sección Oficial (Fuera de concurso)']",8.2,18550,6,3,1,https://pics.filmaffinity.com/novecento_1900-197074118-mmed.jpg,../images/Novecento19001976.jpg,7.7,22732
91,La strada,La strada,1954,103 min.,Italia,Federico Fellini,"Tullio Pinelli, Federico Fellini","Anthony Quinn, Giulietta Masina, Richard Basehart, Aldo Silvani, Marcella Rovere, Livia Venturini",Ponti de Laurentiis,Drama | Neorrealismo. Teatro. Road Movie,"Cuando Zampanó, un artista ambulante, enviuda, compra a Gelsomina, la hermana de su mujer, sin que la madre de la chica oponga la menor resistencia. Pese al carácter violento y agresivo de Zampanó, la muchacha se siente atraída por el estilo de vida nómada, siempre en la calle (la ""strada"", en italiano), sobre todo cuando su dueño la incluye en el espectáculo. Aunque varios de los pintorescos personajes que va conociendo en su deambular le proponen que se una a ellos, Gelsomina se mantendrá fiel a Zampanó hasta las últimas consecuencias. (FILMAFFINITY)","['1956: Oscar: Mejor película de habla no inglesa. 2 nominaciones', '1955: Premios BAFTA: Nominada a mejor película y actriz extranjera (Masina)', '1956: Círculo de Críticos de Nueva York: Mejor película extranjera', '1956: National Board of Review: Top mejores películas extranjeras', '1954: Festival de Venecia: León de Plata (mejor director)']",8.2,12095,6,0,1,https://pics.filmaffinity.com/la_strada-891053949-mmed.jpg,../images/Lastrada1954.jpg,8.0,58852
92,El salario del miedo,Le salaire de la peur,1953,140 min.,Francia,H.G. Clouzot,"H.G. Clouzot, Jérome Géronimi (Novela: Georges Arnaud)","Yves Montand, Charles Vanel, Véra Clouzot, Peter van Eyck, Folco Lulli, William Tubbs, Dario Moreno, Jo Dest","Compagnie Industrielle et Commerciale Cinématographique (CICC), Filmsonor, Vera Films, Fono Film",Aventuras. Thriller. Drama | Película de culto,La tensión entre cuatro trabajadores de una compañía petrolífera estallará durante un peligroso viaje durante el cual transportan nitroglicerina. (FILMAFFINITY),"['1953: Festival de Cannes: Palma de Oro, mejor actor (Charles Vanel)', '1953: Festival de Berlín: Oso de Oro', '1954: Premios BAFTA: Mejor película']",8.2,8453,10,0,0,https://pics.filmaffinity.com/le_salaire_de_la_peur-801229802-mmed.jpg,../images/Elsalariodelmiedo1953.jpg,8.1,55349
93,Los mejores años de nuestra vida,The Best Years of Our Lives,1946,170 min.,Estados Unidos,William Wyler,Robert E. Sherwood (Novela: MacKinlay Kantor),"Dana Andrews, Fredric March, Myrna Loy, Harold Russell, Teresa Wright, Virginia Mayo, Cathy O'Donnell, Hoagy Carmichael, Roman Bohnen, Minna Gombell, Don Beddoe, Steve Cochran, Ray Collins, Ray Teal, Walter Baldwin, Gladys George, Dean White, Victor Cutler, Charles Halton, Howland Chamberlain, Dorothy Adams, Erskine Sanford",Samuel Goldwyn Company (Distribuidora: RKO Radio Pictures),Drama | Familia. Discapacidad. II Guerra Mundial. Melodrama. Años 40,"Tras la Segunda Guerra Mundial (1939-1945), los soldados supervivientes, algunos con taras físicas, regresan a los Estados Unidos. Aunque al principio se les trata como héroes, poco tiempo después comienzan a verse marginados. (FILMAFFINITY)","['1946: 7 Oscars, incluyendo mejor película, director y actor (March)', '1946: Globos de Oro: Mejor película: Drama', '1947: Premios BAFTA: Mejor película', '1946: Círculo de Críticos de Nueva York: Mejor película y director. 3 nominaciones', '1948: Festival Internacional Karlovy Vary: Mejor director']",8.2,7971,10,0,0,https://pics.filmaffinity.com/the_best_years_of_our_lives-210643501-mmed.jpg,../images/Losmejoresaosdenuestravida1946.jpg,8.0,57813
94,Aparajito (El invencible),Aparajito,1956,105 min.,India,Satyajit Ray,Satyajit Ray,"Kanu Bannerjee, Karuna Bannerjee, Pinaki Sengupta, Smaran Ghosal, Santi Gupta, Ramani Sengupta, Ranibala, Sudipta Roy",Epic Productions,Drama | Años 20. Familia. Infancia. Adolescencia. Pobreza. Secuela. Drama psicológico,"Relata la juventud de Apu en Benarés, su deseo de independizarse y estudiar en Calcuta para poder llevar una vida diferente a la que han conocido sus padres. Segundo film de la ""Trilogía de Apu"". (FILMAFFINITY)","['1959: National Board of Review: Top mejores películas extranjeras', '1958: Premios BAFTA: Nominada a mejor película y actriz extranjera (Bannerjee)', '1957: Venecia: León de Oro']",8.2,3788,6,0,1,https://pics.filmaffinity.com/aparajito-228058762-mmed.jpg,../images/AparajitoElinvencible1956.jpg,8.4,11881
95,Gran Torino,Gran Torino,2008,119 min.,Estados Unidos,Clint Eastwood,"Nick Schenk (Historia: Nick Schenk, Dave Johannson)","Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her, John Carroll Lynch, Cory Hardrict, Brian Haley, Geraldine Hughes, Dreama Walker, Doua Moua, Chee Thao, Scott Eastwood, Brian Howe","Warner Bros., Village Roadshow, Malpaso Productions, Double Nickel Entertainment",Drama | Vejez/Madurez. Inmigración. Racismo. Amistad,"Walt Kowalski (Clint Eastwood), un veterano de la guerra de Corea (1950-1953), es un obrero jubilado del sector del automóvil que ha enviudado recientemente. Su máxima pasión es cuidar de su más preciado tesoro: un coche Gran Torino de 1972. Es un hombre inflexible y cascarrabias, al que le cuesta trabajo asimilar los cambios que se producen a su alrededor, especialmente la llegada de multitud de inmigrantes asiáticos a su barrio. Sin embargo, las circustancias harán que se vea obligado a replantearse sus ideas. (FILMAFFINITY)","['2009: Premios César: Mejor película extranjera', '2008: Globos de Oro: Nominada a la Mejor canción', '2008: Círculo de Críticos de Nueva York: Nominada a mejor actor (Clint Eastwood)', '2008: National Board of Review: Mejor actor (Clint Eastwood), mejor guión original', '2008: Premios David di Donatello: Mejor film extranjero', '2008: American Film Institute (AFI): Top 10 - Mejores películas del año', ""2008: Critics' Choice Awards: Nominado Mejor actor (Clint Eastwood)"", '2008: Asociación de Críticos de Chicago: Nominada a mejor actor (Clint Eastwood).', '2009: Premios Sur: Nominada a mejor película extranjera']",8.2,142792,13,3,0,https://pics.filmaffinity.com/gran_torino-278262332-mmed.jpg,../images/GranTorino2008.jpg,8.1,726354
96,La chaqueta metálica,Full Metal Jacket,1987,120 min.,Reino Unido,Stanley Kubrick,"Stanley Kubrick, Michael Herr, Gustav Hasford (Novela: Gustav Hasford)","Matthew Modine, Vincent D'Onofrio, R. Lee Ermey, Adam Baldwin, Arliss Howard, Dorian Harewood, Kevyn Major Howard, Ed O'Ross, Gary Landon Mills, Sal López, John Stafford, Kieron Jecchinis, Ngoc Le, Papillon Soo Soo, Bruce Boa",Warner Bros.,Bélico. Drama | Guerra de Vietnam. Ejército. Película de culto,"Un grupo de reclutas se prepara en Parris Island, centro de entrenamiento de la marina norteamericana. Allí está el sargento Hartman, duro e implacable, cuya única misión en la vida es endurecer el cuerpo y el alma de los novatos, para que puedan defenderse del enemigo. Pero no todos los jóvenes están preparados para soportar sus métodos. (FILMAFFINITY)","['1987: Nominada al Oscar: mejor guión adaptado', '1987: Globos de Oro: Nominado a mejor actor de reparto (R. Lee Ermey)', '1987: Premios BAFTA: Nominada Mejores efectos especiales y sonido', '1987: Sociedad de Críticos de Boston: Mejor actor de reparto (R. Lee Ermey)', ""1987: Círculo de Críticos de Nueva York: 2 nom., incl. a mejor actor sec. (D'Onofrio)"", '1987: Asociación de Críticos de Boston: mejor director y mejor actor sec. (R. Lee Ermey)', '1987: Sindicato de Guionistas (WGA): Nominada a mejor guión adaptado', '1987: Premios David di Donatello: Mejor productor extranjero. 3 nominaciones']",8.2,119957,8,3,0,https://pics.filmaffinity.com/full_metal_jacket-577943737-mmed.jpg,../images/Lachaquetametlica1987.jpg,8.3,682040
97,En el nombre del padre,In the Name of the Father,1993,135 min.,Irlanda,Jim Sheridan,"Terry George, Jim Sheridan (Novela: Gerry Conlon)","Daniel Day-Lewis, Emma Thompson, Pete Postlethwaite, John Lynch, Beatie Edney, Mark Sheppard, Don Baker, Frank Harper, Saffron Burrows, Tom Wilkinson, Gerard McSorley","Co-production Irlanda-Reino Unido; Universal Pictures, Hell's Kitchen Films",Drama | Basado en hechos reales. Terrorismo. IRA. Drama carcelario. Drama judicial / Abogados/as. Años 70. Biográfico,"Belfast, años 70. Gerry (Day-Lewis) es un gamberro que no hace nada de provecho, para disgusto de su padre Giuseppe (Postlethwaite), un hombre tranquilo y educado. Cuando Gerry se enfrenta al IRA, su padre lo manda a Inglaterra. Una vez allí, por caprichos del azar, es acusado de participar en un atentado terrorista y condenado a cadena perpetua con ""los cuatro de Guildford"". También su padre es arrestado y encarcelado. En prisión Gerry descubre que la aparente fragilidad de su padre esconde en realidad una gran fuerza interior. Con la ayuda de una abogada entregada a la causa (Thompson), Gerry se propone demostrar su inocencia, limpiar el nombre de su padre y hacer pública la verdad sobre uno de los más lamentables errores legales de la historia reciente de Irlanda. (FILMAFFINITY)","['1993: 7 nominaciones al Oscar, incluyendo mejor película, director y actor (Lewis)', '1993: 4 nominaciones al Globo de Oro: Película drama, bso, actor drama, actriz secundaria', '1993: 2 nominaciones BAFTA: Mejor actor (Daniel Day-Lewis) y guión adaptado', '1993: Círculo de Críticos de Nueva York: Nominada a mejor actor (Day-Lewis)', '1993: Asociación de Críticos de Los Angeles: Nominada a Mejor actor (Day-Lewis)', '1993: Asociación de Críticos de Boston: Mejor actor (Daniel Day-Lewis)', '1993: Premios David di Donatello: Mejor film extranjero. 2 nominaciones', '1993: Sindicato de Productores (PGA): Nominada a Mejor película', '1993: Sindicato de Guionistas (WGA): Nominada a Mejor guión adaptado', '1994: Festival de Berlín: Oso de Oro', '1994: Premios del Cine Europeo: Nominada a mejor película']",8.2,76080,14,0,0,https://pics.filmaffinity.com/in_the_name_of_the_father-748000493-mmed.jpg,../images/Enelnombredelpadre1993.jpg,8.1,159125
98,Persona,Persona,1966,81 min.,Suecia,Ingmar Bergman,Ingmar Bergman,"Liv Ullmann, Bibi Andersson, Margaretha Krook, Gunnar Björnstrand, Jörgen Lindström",Svensk Filmindustri (SF),Drama. Intriga | Teatro. Película de culto,"Elisabeth (Liv Ullmann), una célebre actriz de teatro, es hospitalizada tras perder la voz durante una representación de ""Electra"". Después de ser sometida a una serie de pruebas, el diagnóstico es bueno. Sin embargo, como sigue sin hablar, debe permanecer en la clínica. Alma (Bibi Andersson), la enfermera encargada de cuidarla, intenta romper su mutismo hablándole sin parar. (FILMAFFINITY)","['1967: Premios BAFTA: Nominada a Mejor actriz extranjera (Bibi Andersson)', '1967: Premios Guldbagge (Suecia): Mejor película y actriz (Bibi Andersson)']",8.2,22755,8,1,0,https://pics.filmaffinity.com/persona-233964128-mmed.jpg,../images/Persona1966.jpg,8.1,105230
99,Umberto D.,Umberto D.,1952,84 min.,Italia,Vittorio De Sica,"Cesare Zavattini, Vittorio De Sica","Carlo Battisti, Maria Pia Casilio, Lina Gennari, Memmo Carotenuto, Alberto Albani Barbieri",Rizzoli Film,Drama | Neorrealismo. Vejez/Madurez. Perros/Lobos. Pobreza,"Umberto Domenico Ferrari es un jubilado que intenta sobrevivir con su miserable pensión. Sumido en la pobreza, vive en una pensión, cuya dueña lo maltrata porque no consigue reunir el dinero necesario para pagar el alquiler de su habitación. Los únicos amigos que tiene en este mundo son una joven criada y sobre todo su perro Flike. (FILMAFFINITY)","['1956: Nominada al Oscar: Mejor guión', '1952: Cannes: Nominada al Gran Premio del Festival', '1955: Círculo de Críticos de Nueva York: Mejor película extranjera']",8.2,7371,9,0,0,https://pics.filmaffinity.com/umberto_d-113681447-mmed.jpg,../images/UmbertoD1952.jpg,8.2,23334
100,Y el mundo marcha,The Crowd,1928,104 min.,Estados Unidos,King Vidor,"King Vidor, John V.A. Weaver, Harry Behn, Joseph Farnham (Historia: King Vidor)","James Murray, Eleanor Boardman, Bert Roach, Estelle Clark, Daniel G. Tomlinson, Dell Henderson",Metro-Goldwyn-Mayer (MGM),Drama | Melodrama. Cine mudo,Un joven solitario impulsado por la ambición y el idealismo se enfrenta a la vida en el Nueva York de principios del siglo XX. Las duras condiciones que impone esta realidad desmitifican el mítico sueño americano. (FILMAFFINITY),"['1927: 2 nominaciones al Oscar: Mejor director, película por calidad artística']",8.2,3284,7,0,1,https://pics.filmaffinity.com/the_crowd-903083439-mmed.jpg,../images/Yelmundomarcha1928.jpg,8.1,7588
101,El señor de los anillos: El retorno del rey,The Lord of the Rings: The Return of the King,2003,201 min.,Nueva Zelanda,Peter Jackson,"Peter Jackson, Fran Walsh, Philippa Boyens (Novela: J.R.R. Tolkien)","Elijah Wood, Viggo Mortensen, Ian McKellen, Sean Astin, Andy Serkis, John Rhys-Davies, Orlando Bloom, John Noble, Miranda Otto, David Wenham, Bernard Hill, Billy Boyd, Dominic Monaghan, Liv Tyler, Karl Urban, Christopher Lee, Brad Dourif, Ian Holm, Hugo Weaving, Cate Blanchett, Lawrence Makoare, Marton Csokas, Sean Bean",Co-production Nueva Zelanda-Estados Unidos; Wingnut Films (Distribuidora: New Line Cinema),Fantástico. Aventuras. Acción | Fantasía medieval. Espada y brujería. Cine épico. Secuela. Película de culto,"Las fuerzas de Saruman han sido destruidas, y su fortaleza sitiada. Ha llegado el momento de decidir el destino de la Tierra Media, y, por primera vez, parece que hay una pequeña esperanza. El interés del señor oscuro Sauron se centra ahora en Gondor, el último reducto de los hombres, cuyo trono será reclamado por Aragorn. Sauron se dispone a lanzar un ataque decisivo contra Gondor. Mientras tanto, Frodo y Sam continuan su camino hacia Mordor, con la esperanza de llegar al Monte del Destino. (FILMAFFINITY)","['2003: 11 premios Oscar, incluyendo mejor película y director. 11 nominaciones', '2003: 4 Globos de Oro: Mejor película dramática, director, bso y canción', '2003: 4 premios BAFTA, incluyendo mejor película y guión adaptado. 12 nom.', '2003: National Board of Review: Mejor reparto', '2003: Círculo de Críticos de Nueva York: Mejor película. 2 nominaciones', '2003: Asociación de Críticos de Los Angeles: Mejor director y diseño de producción', '2003: Festival de Toronto: Mejor director (Peter Jackson)', '2003: American Film Institute (AFI): Top 10 - Mejores películas del año', ""2003: 4 Critics' Choice Awards: Mejor película, director, reparto y compositor"", '2003: Asociación de Críticos de Chicago: Mejor película, dir. y banda sonora. 7 nom.', '2003: Asociación de Críticos de Boston: Nominada a mejor director', '2003: Sindicato de Productores (PGA): Mejor película', '2003: Sindicato de Directores (DGA): Mejor director', '2003: Sindicato de Guionistas (WGA): Nominada a Mejor guión adaptado', '2003: Sindicato de Actores (SAG): Mejor reparto (Largometraje)']",8.2,181903,16,4,0,https://pics.filmaffinity.com/the_lord_of_the_rings_the_return_of_the_king-178294596-mmed.jpg,../images/ElseordelosanillosElretornodelrey2003.jpg,8.9,1660846
102,El resplandor,The Shining,1980,146 min.,Reino Unido,Stanley Kubrick,"Stanley Kubrick, Diane Johnson (Novela: Stephen King)","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson, Philip Stone, Joe Turkel, Lia Beldam, Billie Gibson, Barry Dennen, David Baxt, Manning Redwood, Lisa Burns, Alison Coleridge, Norman Gay, Tony Burton, Anne Jackson, Jana Shelden, Burnell Tucker","Co-production Reino Unido-Estados Unidos; Hawk Films, Peregrine, Warner Bros., Producers Circle (Distribuidora: Warner Bros.)",Terror | Sobrenatural. Casas encantadas. Fantasmas. Drama psicológico. Película de culto,"Jack Torrance se traslada con su mujer y su hijo de siete años al impresionante hotel Overlook, en Colorado, para encargarse del mantenimiento de las instalaciones durante la temporada invernal, época en la que permanece cerrado y aislado por la nieve. Su objetivo es encontrar paz y sosiego para escribir una novela. Sin embargo, poco después de su llegada al hotel, al mismo tiempo que Jack empieza a padecer inquietantes trastornos de personalidad, se suceden extraños y espeluznantes fenómenos paranormales. (FILMAFFINITY)","['1980: Saturn Awards: Mejor Actor Sec (Crothers). 4 nom. incluyendo Película Terror', '1980: 2 nominaciones a los Premios Razzie: Peor director y actriz (Shelley Duvall)', '1980: Premios David di Donatello: Nominada a mejor productor extranjero']",8.2,144712,9,1,3,https://pics.filmaffinity.com/the_shining-453129380-mmed.jpg,../images/Elresplandor1980.jpg,8.4,909782
103,¿Vencedores o vencidos? (El juicio de Nuremberg),Judgment at Nuremberg,1961,186 min.,Estados Unidos,Stanley Kramer,Abby Mann (Teatro: Abby Mann),"Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich, Maximilian Schell, Judy Garland, Montgomery Clift, Edward Binns, Werner Klemperer, Torben Meyer, Martin Brandt, William Shatner, Kenneth MacKenna, Alan Baxter, Ray Teal",Roxlom Films Inc. (Distribuidora: United Artists),Drama | Drama judicial / Abogados/as. Histórico. Nazismo. Holocausto. Años 40. II Guerra Mundial,"En 1948, tres años después del final de la Segunda Guerra Mundial (1939-1945), cuatro jueces, cómplices de la política nazi de esterilización y limpieza étnica, van a ser juzgados en Nuremberg. Sobre Dan Haywood (Spencer Tracy), un juez norteamericano retirado, recae la importante responsabilidad de presidir este juicio contra los crímenes de guerra nazis. (FILMAFFINITY)","['1961: 2 Oscars: Mejor actor (Maximilian Schell), guión adaptado. 11 nominaciones', '1961: 2 Globos de Oro: Actor - Drama (Schell) y director. 6 nominaciones', '1961: Premios BAFTA: 3 nominaciones incluyendo a mejor película', '1961: Círculo de Críticos de Nueva York: Mejor actor (Schell) y mejor guion. 3 nominaciones', '1961: Sindicato de Directores (DGA): Nominada a mejor director', '1961: Sindicato de Guionistas (WGA): Nominada a mejor guión drama', '1961: National Board of Review: Top 10 mejores películas', '1961: 3 Premios David di Donatello, incl. mejor película extr. y mejor actor extr. (Tracy)']",8.2,12202,6,2,0,https://pics.filmaffinity.com/judgment_at_nuremberg-455024383-mmed.jpg,../images/VencedoresovencidosEljuiciodeNuremberg1961.jpg,8.2,70394
104,El moderno Sherlock Holmes,Sherlock Jr.,1924,45 min.,Estados Unidos,Buster Keaton,"Clyde Bruckman, Jean Havez, Joseph Mitchell","Buster Keaton, Kathryn McGuire, Joe Keaton, Ward Crane, Erwin Connelly, Jane Connelly",Buster Keaton,Comedia | Cine mudo. Sherlock Holmes. Mediometraje,"Película sobre el mundo del cine, Keaton es un proyeccionista que sueña con ser un detective cuando, milagrosamente, se encuentra dentro de la película que está proyectando. Allí intentará salvar a su amada de las garras del villano. Una de las más aclamadas cintas de cine mudo llena de gags visuales y con un portentoso Buster Keaton. (FILMAFFINITY)",,8.2,5880,8,0,1,https://pics.filmaffinity.com/sherlock_jr_aka_sherlock_junior-781853857-mmed.jpg,../images/ElmodernoSherlockHolmes1924.jpg,8.2,42976
105,Los niños del paraíso,Les enfants du paradis,1945,190 min.,Francia,Marcel Carné,Jacques Prévert,"Jean-Louis Barrault, Pierre Brasseur, Pierre Renoir, Arletty, Marcel Herrand, María Casares, Louis Salou, Gérard Blain",Société Nouvelle Pathé,Romance. Drama | Teatro. Siglo XIX. Drama romántico. Realismo poético francés,"París, 1820. Dos jóvenes artistas, Baptiste Debureau y Frédéric Lemâitre, debutan en el teatro de los Funámbulos y entablan amistad. Un día, Garance, una misteriosa y atractiva mujer, irrumpe en sus vidas. Mientras que el tímido Baptiste no se atreve a declararle su amor, Frédéric la convierte en su amante. Sin embargo, al estar implicada en una serie de crímenes, la mujer desaparece. (FILMAFFINITY)",['1946: Nominada al Oscar: Mejor guión original'],8.2,3220,7,1,0,https://pics.filmaffinity.com/les_enfants_du_paradis-157388263-mmed.jpg,../images/Losniosdelparaso1945.jpg,8.4,18400
106,El séptimo sello,Det sjunde inseglet (The Seventh Seal),1957,96 min.,Suecia,Ingmar Bergman,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Nils Poppe, Bibi Andersson, Bengt Ekerot, Gunnel Lindblom, Maud Hansson, Ake Fridell",Svensk Filmindustri (SF),Drama | Siglo XIV. Edad Media. Religión. Ajedrez. Pandemias. Película de culto,"Suecia, mediados del siglo XIV. La Peste Negra asola Europa. Tras diez años de inútiles combates en las Cruzadas, el caballero sueco Antonius Blovk y su leal escudero regresan de Tierra Santa. Blovk es un hombre atormentado y lleno de dudas. En el camino se encuentra con la Muerte que lo reclama. Entonces él le propone jugar una partida de ajedrez, con la esperanza de obtener de Ella respuestas a las grandes cuestiones de la vida: la muerte y la existencia de Dios. (FILMAFFINITY)","['1957: Festival de Cannes: Premio Especial del Jurado (Ex aequo con ""Kanal"")']",8.1,33449,10,0,1,https://pics.filmaffinity.com/det_sjunde_inseglet_the_seventh_seal-346040626-mmed.jpg,../images/Elsptimosello1957.jpg,8.2,167535
107,Twin Peaks - Episodio piloto,Twin Peaks - Pilot Episode,1990,93 min.,Estados Unidos,David Lynch,"David Lynch, Mark Frost","Kyle MacLachlan, Michael Ontkean, Piper Laurie, Joan Chen, Lara Flynn Boyle, Dana Ashbrook, Sherilyn Fenn, Warren Frost, Troy Evans, Peggy Lipton, Jack Nance, Russ Tamblyn, Sheryl Lee, Mädchen Amick, Everett McGill, Mary Jo Deschanel, Ray Wise","Lynch Entertainment, Worldvision",Intriga. Drama. Thriller | Crimen. Vida rural (Norteamérica). Película de culto,"La pequeña y tranquila población de Twin Peaks, en el estado de Washington, se conmociona cuando el cuerpo de la joven Laura Palmer, una conocida y guapa adolescente del pueblo, aparece con síntomas de haber sido brutalmente asesinada. El agente especial del FBI Dale Cooper es asignado al caso. (FILMAFFINITY)","['1990: 2 premios Emmy: Montaje, Vestuario.']",8.1,28615,4,0,0,https://pics.filmaffinity.com/twin_peaks_pilot_episode-173869758-mmed.jpg,../images/TwinPeaksEpisodiopiloto1990.jpg,,
